index,0
Suzanne Collins,1962-08-10
J.K. Rowling,1965-07-31
Stephenie Meyer,1973-12-24
Markus Zusak ,1975-06-23
George Orwell,none
J.R.R. Tolkien,1892-01-03
Margaret Mitchell,1900-11-08
Shel Silverstein,1930-09-25
Emily Brontë,1818-07-30
Arthur Golden,1956-12-06
Lewis Carroll,1832-01-27
Charlotte Brontë,1816-04-21
Ray Bradbury,1920-08-22
Veronica Roth ,1988-08-19
William Golding,1911-09-19
William Shakespeare,2008-04-11
Paulo Coelho ,1947-08-24
Fyodor Dostoyevsky,1821-11-11
Cassandra Clare ,1973-07-27
Orson Scott Card,1951-08-24
L.M. Montgomery,1874-11-30
E.B. White,none
John Steinbeck,none
Audrey Niffenegger ,1963-06-13
Bram Stoker,1847-11-08
Aldous Huxley,1894-07-26
J.D. Salinger,1919-01-01
William Goldman,1931-08-12
Rick Riordan ,1964-06-05
Frances Hodgson Burnett,1849-11-24
Khaled Hosseini ,1965-03-04
Madeleine L'Engle,1918-11-29
George R.R. Martin,1948-09-20
Mark Twain,1835-11-30
Alice Sebold,1963-09-06
Maurice Sendak,1928-06-10
Dr. Seuss,1904-03-02
Homer,none
Yann Martel,1963-06-25
Charles Dickens,1812-02-07
Sara Gruen ,none
Vladimir Nabokov,none
Kurt Vonnegut Jr.,1922-11-11
Mary Wollstonecraft Shelley,1797-08-30
Lois Lowry ,1937-03-20
Joseph Heller,1923-05-01
Frank Herbert,1920-10-08
Stephen King ,1947-09-21
Richard Adams,1920-05-09
Louisa May Alcott,1832-11-29
Diana Gabaldon ,1952-01-11
Jodi Picoult ,none
Roald Dahl,1916-09-13
Daphne du Maurier,1907-05-13
Alice Walker,1944-02-09
Betty Smith,1896-12-15
Anthony Burgess,1917-02-25
Cormac McCarthy,1933-07-20
Frank McCourt,1930-08-19
Richelle Mead ,1976-11-12
Barbara Kingsolver,1955-04-08
Philip Pullman,1946-10-19
Miguel de Cervantes Saavedra,none
Ayn Rand,1905-02-02
Ernest Hemingway,1899-07-21
Nicholas Sparks ,1965-12-31
