,0
J.R.R. Tolkien,1892-01-03
Ray Bradbury,1920-08-22
Veronica Roth ,1988-08-19
Paulo Coelho ,1947-08-24
Audrey Niffenegger ,1963-06-13
Madeleine L'Engle,1918-11-29
Mary Wollstonecraft Shelley,1797-08-30
Frank Herbert,1920-10-08
Daphne du Maurier,1907-05-13
George Orwell,none
Alice Walker,1944-02-09
Anthony Burgess,1917-02-25
Chuck Palahniuk ,1962-02-21
William Shakespeare,2008-04-11
Cassandra Clare ,1973-07-27
E.L. James ,1963-03-07
Jean M. Auel,1936-02-18
Michael Crichton,1942-10-23
Erin Morgenstern ,1978-07-08
Kiera Cass ,1981-05-19
José Saramago,1922-11-16
Mary Ann Shaffer,none
Lauren Oliver ,1982-11-08
Jamie McGuire ,1983-11-13
Laurie Halse Anderson ,1961-10-23
Patrick Rothfuss ,1973-06-06
Rainbow Rowell ,1973-02-24
Rick Riordan ,1964-06-05
Ernest Cline ,1972-03-29
Sarah J. Maas ,1986-03-05
Jojo Moyes ,1969-08-04
Andy Weir ,1972-06-16
Tahereh Mafi,1988-11-09
Leigh Bardugo ,1975-04-06
Laini Taylor ,1971-12-11
Philip Pullman,1946-10-19
Stephen King ,1947-09-21
George R.R. Martin,1948-09-20
Anthony Doerr ,1973-10-27
Ki Longfellow ,1944-12-09
John Steinbeck,none
Rick Yancey,1962-11-04
Kyle Keyes,none
Benjamin Alire Sáenz ,1954-08-16
Richelle Mead ,1976-11-12
Sylvia Day ,1973-03-11
Victoria Aveyard ,1990-07-27
Deborah Harkness ,none
Becca Fitzpatrick ,1979-02-03
Michelle Hodkin ,none
Jennifer Niven ,none
R.D. Ronald,none
Susan Ee ,none
Alexandra Bracken ,none
Diana Gabaldon ,1952-01-11
Maggie Stiefvater ,1981-11-18
Donna Tartt,1963-12-23
Diamante Lavendar ,none
Patrick Ness,1971-10-17
Christopher Paolini ,1983-11-17
Gayle Forman ,1970-06-05
Karen Marie Moning ,none
Brandon Sanderson ,1975-12-19
Marissa Meyer ,1984-02-19
Madeline Miller ,1978-07-24
Marie Lu ,1984-07-11
Jandy Nelson ,1965-11-25
Haruki Murakami,1949-01-12
Dan Brown ,1964-06-22
Terry Pratchett,1948-04-28
J.A. Redmerski ,none
Kristin Hannah ,1960-09-25
Pierce Brown ,1988-01-28
James Dashner ,1972-11-26
E.M. Forster,1879-01-01
Paula Hawkins ,none
Steve Snyder ,none
Neil Gaiman ,1960-11-10
Tim Butcher ,1967-11-15
Angie Thomas ,1988-09-20
Sylvain Reynard ,none
Becky Albertalli ,1982-11-17
Catherine Marshall,1914-09-27
S.C. Stephens ,none
Tammara Webber ,none
Colleen Hoover ,1979-12-11
Lauren Kate ,1981-03-21
Gary Chapman,none
David Levithan ,1972-09-07
Irvine Welsh,1958-09-27
Colleen Houck ,none
André Aciman ,1951-01-02
Cynthia Hand ,none
Don DeLillo,1936-11-20
Aimee Cabo Nikolov ,none
Hanya Yanagihara ,none
Julie Kagawa ,1982-10-12
Beth Revis ,none
Ruta Sepetys ,1967-11-19
V.E. Schwab,1987-07-07
Nicola Yoon ,none
P.C. Cast ,1960-04-30
Jennifer L. Armentrout ,1980-06-11
Mia Sheridan ,none
Amanda Hocking ,1984-07-12
Kathleen Zamboni McCormick ,none
Josephine Angelini ,none
Khaled Hosseini ,1965-03-04
S.J. Watson ,none
Abbi Glines ,1977-04-16
Kenneth Jarrett Singleton,none
Frank Miller,1957-01-27
Veronica Rossi ,1973-06-16
Fernando Pessoa,1888-06-13
