index,0
Betty Friedan,1921-02-04
Plato,none
Fyodor Dostoyevsky,1821-11-11
Simon Holt,none
Sylvia Nasar,1947-08-17
Tahereh Mafi,1988-11-09
Jennifer Niven ,none
Jean Giono,1895-03-30
Ernest Hemingway,1899-07-21
Adolf Hitler,1889-04-20
Sally Rooney ,1991-02-20
Vladimir Nabokov,none
Jack London,1876-01-12
Bret Easton Ellis,1964-03-07
Kristen Ashley ,1968-04-08
Astrid Lindgren,1907-11-14
Stephen King ,1947-09-21
James Ellroy,1948-03-04
Derek Landy,1974-10-23
Don Winslow ,1953-10-31
Jay Anson,none
Robyn Schneider ,none
Jean-Paul Sartre,1905-06-21
Lemony Snicket ,none
Oswald Chambers,1874-07-24
Italo Calvino,1923-10-15
Irvine Welsh,1958-09-27
Kingsley Amis,1922-04-16
Neal Shusterman ,1962-11-12
Erin Hunter,none
Richelle Mead ,1976-11-12
Mikhail Sholokhov,1905-05-24
Rick Riordan ,1964-06-05
Keigo Higashino,1958-02-04
Barbara Taylor Bradford ,1933-05-10
Kate Atkinson,none
Karen Chance ,none
Jaroslav Hašek,1883-04-30
Christopher Marlowe,none
Joanne Harris ,1964-07-03
Jodi Picoult ,none
Jennifer L. Armentrout ,1980-06-11
Erika Johansen ,none
Gene Wolfe,1931-05-07
Dean Koontz ,1945-07-09
Ernest J. Gaines,1933-01-15
David Levithan ,1972-09-07
Mitch Albom ,1958-05-23
Marissa Meyer ,1984-02-19
Hector Malot,1830-05-20
Rachel Caine ,1962-04-27
Donna Tartt,1963-12-23
Anna Godbersen,1980-04-10
Nalini Singh ,1945-09-01
William Gibson,1948-03-17
Steven Erikson ,1959-10-07
Cormac McCarthy,1933-07-20
Richard Paul Evans,1962-10-11
Michael J. Sullivan ,none
Sabaa Tahir ,none
Raine Miller ,none
Benjamin Graham,1894-05-09
Sophie Kinsella ,1970-12-12
Philip K. Dick,1928-12-16
Thomas Pynchon,1937-05-08
Randall Munroe ,1984-10-17
Iain M. Banks,none
Maria V. Snyder ,1973-04-15
Jennings Michael Burch,1941-04-27
Pat Conroy,1945-10-26
Sei Shōnagon,none
Abbi Glines ,1977-04-16
Immaculée Ilibagiza,none
Immanuel Kant,1724-04-22
Kiera Cass ,1981-05-19
Sophie Jordan ,none
Stephanie Garber ,none
Paul Auster,1947-02-03
Betty Mahmoody,1945-06-09
Anne Bishop,none
Lisa Kleypas ,1964-11-05
Ridley Pearson,1953-03-13
Dan Millman,1946-02-22
Roger Zelazny,1937-05-13
Liu Cixin ,1963-06-23
Carlos Ruiz Zafón,1964-09-25
Joseph Conrad,1857-12-03
Lauren Willig ,none
Chris Titus ,1964-10-01
G.K. Chesterton,1874-05-29
Don Phelan ,none
Darren Shan ,1972-07-02
Nikolas Schreck ,none
Lord Byron,1788-01-22
Ben Aaronovitch ,1964-02-22
Jessica Sorensen ,none
Sherrilyn Kenyon ,1965-12-11
Brett Axel ,none
Jay Kristoff ,none
William S. Burroughs,1914-02-05
Cinda Williams Chima ,none
Shannon Hale ,1974-01-26
James Rollins ,1961-08-20
Edgar Allan Poe,1809-01-19
Philip Roth,1933-03-19
Anton Chekhov,1860-01-29
John Grisham ,1955-02-08
Ben Sherwood,1964-02-12
Anthony Bourdain,1956-06-25
Paulo Coelho ,1947-08-24
Lloyd Alexander,1924-01-30
Margaret Atwood ,1939-11-18
Mihaly Csikszentmihalyi,1934-09-29
Nelson DeMille ,1943-08-23
Angelo Tsanatelis ,none
Rainer Maria Rilke,1875-12-04
Douglas Preston ,1956-05-20
Diana Wynne Jones,1934-08-16
Shannon Messenger ,none
Tite Kubo,1977-06-26
Blake Crouch ,1978-10-15
Téa Obreht ,1985-09-30
Heather Gudenkauf ,none
Daphne du Maurier,1907-05-13
Gena Showalter ,none
Kimberly Brubaker Bradley ,none
Ann Patchett,1963-12-02
Bob Atkinson ,none
Anthony Horowitz ,1955-04-05
Laura Ingalls Wilder,1867-02-07
Richard Bachman ,none
Mary Norton,none
Jeanne DuPrau,1944-06-09
Jim Butcher ,1971-10-26
Matthew Quick ,1973-10-23
Kathy Acker,1947-04-18
Franz Kafka,1883-07-03
John Connolly ,none
John Corey Whaley,1984-01-19
Brian Jacques,1939-06-15
James E. Talmage,1911-12-08
Lili St. Crow,none
L.A. Weatherly ,none
Josephine Angelini ,none
James A. Michener,1907-02-03
John Flanagan,none
Holly Black ,1971-11-10
Veronica Roth ,1988-08-19
Yukio Mishima,1925-01-14
Scott Westerfeld ,1963-05-06
Jeff Kinney ,1971-02-19
Raymond E. Feist,1945-12-21
Martin Amis,1949-08-25
Loung Ung,1970-11-19
Janet E. Morris ,1946-05-25
Lois Lowry ,1937-03-20
Kelley Armstrong ,1968-12-14
Kaye Gibbons,1960-05-05
W. Somerset Maugham,1874-01-25
Paolo Bacigalupi ,1972-08-06
Katy Evans ,1976-03-03
Mary Roach ,1959-03-20
Young Kim ,1962-10-18
Alfred Bester,1913-12-18
Elizabeth Gilbert ,1969-07-18
Fredrik Backman ,1981-06-02
Chuck Klosterman,none
Emily M. Danforth ,1980-01-17
Tayeb Salih,none
Richard Dawkins ,1941-03-26
Ally Carter ,1974-01-01
Victoria Forester,none
O.E. Rølvaag,none
Sharon Kay Penman ,none
Lauren Oliver ,1982-11-08
Honoré de Balzac,1799-05-20
Tsugumi Ohba,none
Charles Bukowski,1920-08-16
Pseudonymous Bosch ,1967-10-25
