isbn,main author
9780439023481,Suzanne Collins
9780439358071,J.K. Rowling
9780316015844,Stephenie Meyer
9780375831003,Markus Zusak 
9780451526342,George Orwell
9780446675536,Margaret Mitchell
9780062024039,Veronica Roth 
9780062315007,Paulo Coelho 
9781416914280,Cassandra Clare 
9780812550702,Orson Scott Card
9780064410939,E.B. White
9780142000670,John Steinbeck
9780316769174,J.D. Salinger
9780786838653,Rick Riordan 
9780517189603,Frances Hodgson Burnett
9781594489501,Khaled Hosseini 
9781250153272,Madeleine L'Engle
9780553588484,George R.R. Martin
9780316166683,Alice Sebold
9780099408390,Maurice Sendak
9780770430078,Yann Martel
9781565125605,Sara Gruen 
9780385333849,Kurt Vonnegut Jr.
9780385732550,Lois Lowry 
9780684833392,Joseph Heller
9780593099322,Frank Herbert
9780385199575,Stephen King 
9780380395866,Richard Adams
9780192833594,Charles Dickens
9780545010221,J.K. Rowling
9780440242949,Diana Gabaldon 
9780743454537,Jodi Picoult 
9780141301068,Roald Dahl
9780143135692,Alice Walker
9780061120077,Betty Smith
9780393341768,Anthony Burgess
9780307265432,Cormac McCarthy
9780007205233,Frank McCourt
9780060786502,Barbara Kingsolver
9780679879244,Philip Pullman
9780142437230,Miguel de Cervantes Saavedra
9780452011878,Ayn Rand
9780439655484,J.K. Rowling
9780684830490,Ernest Hemingway
9780345476876,Anne Rice
9780142437247,Herman Melville
9780312353766,Anita Diamant 
9780142001745,Sue Monk Kidd 
9781416975861,Cassandra Clare 
9780312422158,Jeffrey Eugenides
9780756404079,Patrick Rothfuss 
9780450040184,Stephen King 
9780143039563,Mark Twain
9780375826696,Christopher Paolini 
9780142403884,Roald Dahl
9780140042597,Jack Kerouac
9781400032716,Mark Haddon
9780241003008,Eric Carle
9780571224388,Milan Kundera
9780156001311,Umberto Eco
9780375806810,Wilson Rawls
9780439064866,J.K. Rowling
9780679745587,Truman Capote
9780393355949,Chuck Palahniuk 
9781401308582,Mitch Albom 
9781416989417,Becca Fitzpatrick 
9780394800011,Dr. Seuss
9780671683900,Larry McMurtry
9780140120837,Patrick Süskind
9780439244190,Louis Sachar 
9780930289232,Alan Moore 
9780450411434,Stephen King 
9781423101475,Rick Riordan 
9780679433132,Dante Alighieri
9780449213940,Erich Maria Remarque
9780618260300,J.R.R. Tolkien
9781400034680,Gabriel García Márquez
9781595141972,Richelle Mead 
9780385721790,Ian McEwan
9780143038412,Elizabeth Gilbert 
9780061120060,Zora Neale Hurston
9780140621679,L. Frank Baum
9780679889106,Dr. Seuss
9781595141989,Richelle Mead 
9781416500186,Pearl S. Buck
9781406321340,Cassandra Clare 
9780141382890,Rick Riordan 
9780143038092,Amy Tan 
9780517223628,Jane Carruth 
9780743278904,Richard Bach 
9780545265355,Suzanne Collins
9780307269980,Stieg Larsson
9780385737944,James Dashner 
9780525457589,Michael Ende
9780753453803,Robert Louis Stevenson
9780553573428,George R.R. Martin
9780060987107,Gregory Maguire
9780618711659,Jonathan Safran Foer 
9780440238607,Philip Pullman
9780340606513,Thomas Keneally
9781595143068,Richelle Mead 
9780385534635,Erin Morgenstern 
9780618391110,J.R.R. Tolkien
9781400033416,Toni Morrison
9780802130204,John Kennedy Toole
9780062059932,Kiera Cass 
9780380002559,Margery Williams Bianco
9780439023498,Suzanne Collins
9781423113393,Rick Riordan 
9781595142504,Richelle Mead 
9781416975885,Cassandra Clare 
9780142437339,Arthur Miller
9780140285604,Kurt Vonnegut Jr.
9780679457312,Arundhati Roy 
9780143039099,Kenneth Grahame
9780452287020,Tracy Chevalier 
9780060513061,Shel Silverstein
9780099446781,Thomas Harris
9780545123266,Maggie Stiefvater 
9780689865381,Scott Westerfeld 
9781442403543,Cassandra Clare 
9780671021009,Wally Lamb 
9780739461198,John Grogan
9780590920681,Gail Carson Levine 
9780965341981,Haruki Murakami
9780451933027,Stephen King 
9780553381696,George R.R. Martin
9780312360269,P.C. Cast 
9781984801814,Mary Ann Shaffer
9780553383805,Isabel Allende 
9780440174646,Alex Haley
9780450417399,Stephen King 
9780064410342,Diana Wynne Jones
9780441788385,Robert A. Heinlein
9780307269997,Stieg Larsson
9781400031702,Donna Tartt
