,0,1,2,3,4,5,6
Becky Albertalli ,Rebecca Goldstein (1982-11-17) November 17, 1982 (age 40)Atlanta, Georgia, U.S.,,,
Catherine Marshall,(1914-09-27)September 27, 1914Johnson City, Tennessee, United States,,,
Sarah J. Maas ,Sarah Janet Maas (1986-03-05) March 5, 1986 (age 36)New York,,,,,
André Aciman , (1951-01-02) 2 January 1951 (age 71)Alexandria, Egypt,,,,,
Don DeLillo,Donald Richard DeLillo (1936-11-20) November 20, 1936 (age 86)New York City, U.S.,,,,
Aimee Cabo Nikolov ,n,o,n,e,,,
Hanya Yanagihara ,1974 (age 47–48)Los Angeles, California, U.S.,,,,
V.E. Schwab,Victoria Elizabeth Schwab (1987-07-07) July 7, 1987 (age 35)California,,,,,
Nicola Yoon ,American,,,,,,
Marissa Meyer ,Marissa Meyer (1984-02-19) February 19, 1984 (age 38)[1]Tacoma, Washington, U.S.[2],,,
Mia Sheridan ,n,o,n,e,,,
Cassandra Clare ,Judith Rumelt (1973-07-27) July 27, 1973 (age 49)Tehran, Iran,,,,
Kathleen Zamboni McCormick ,n,o,n,e,,,
Kenneth Jarrett Singleton,n,o,n,e,,,
Fernando Pessoa,Fernando António Nogueira Pessoa(1888-06-13)13 June 1888Lisbon, Portugal,,,,,
Maria Nhambu ,n,o,n,e,,,
Anne Willow ,n,o,n,e,,,
Amie Kaufman ,Melbourne, Victoria, Australia,,,,
Colleen Hoover ,Margaret Colleen Fennell[1] (1979-12-11) December 11, 1979 (age 43)Sulphur Springs, Texas, US,,,
Laura Joffe Numeroff ,Laura Joffe Numeroff (1953-07-14) July 14, 1953 (age 69)Brooklyn, New York, U.S.,,,
Ransom Riggs, (1979-02-03) February 3, 1979 (age 43)Maryland, U.S.,,,,
Delia Owens ,c. 1949,,,,,,
M. Robinson,n,o,n,e,,,
Afroz Alam ,n,o,n,e,,,
Lawrence Hill, (1957-01-24) January 24, 1957 (age 65)Newmarket, Ontario,,,,
John Green ,John Michael Green (1977-08-24) August 24, 1977 (age 45)Indianapolis, Indiana, U.S.,,,
John Tiffany ,John Richard Tiffanyc. 1971 (age 50–51),,,,,,
Kiera Cass , (1981-05-19) 19 May 1981 (age 41)Myrtle Beach, South Carolina,,,,,
Tara Westover , (1986-09-30) September 30, 1986 (age 36)Clifton, Idaho,,,,
Michel Guyon ,n,o,n,e,,,
Liane Moriarty , (1966-11-15) 15 November 1966 (age 56)Sydney, New South Wales, Australia,,,,
Victoria Aveyard , (1990-07-27) July 27, 1990 (age 32)East Longmeadow, Massachusetts, US,,,
Ammar Habib ,"
 (1967-10-25) October 25", 1967 (age 55),,,,,
Rohith S. Katbamna ,n,o,n,e,,,
Stephanie Garber ,American,,,,,,
Madeline Miller , (1978-07-24) July 24, 1978 (age 44)[1]Boston, Massachusetts, U.S.,,,
Jason Latshaw ,n,o,n,e,,,
Kirsten Fullmer ,n,o,n,e,,,
Gail Honeyman,n,o,n,e,,,
Garth Nix ,Garth Richard Nix (1963-07-19) 19 July 1963 (age 59)Melbourne, Victoria, Australia,,,,
Paul Kalanithi,April 1, 1977,,,,,
Margaret Wise Brown,May 23, 1910[1]Brooklyn, New York, U.S.[1],,,
Gillian Dance ,n,o,n,e,,,
Naomi Novik , (1973-04-30) April 30, 1973 (age 49)New York, US,,,,
Samuel R. George,n,o,n,e,,,
Rick Riordan ,Richard Russell Riordan Junior (1964-06-05) June 5, 1964 (age 58)San Antonio, Texas, U.S.,,,
J.K. Franko ,n,o,n,e,,,
Taylor Jenkins Reid , (1983-12-20) December 20, 1983 (age 38)Maryland, U.S.,,,,
Ted Bernal Guevara ,n,o,n,e,,,
Blake Crouch , (1978-10-15) October 15, 1978 (age 44)Statesville, North Carolina,,,,
Renée Ahdieh ,Writer,,,,,,
Andrew Watson ,n,o,n,e,,,
Ruta Sepetys ,Ruta Sepetys (1967-11-19) November 19, 1967 (age 55)Detroit, Michigan, U.S.,,,
Brandon Sanderson , (1975-12-19) December 19, 1975 (age 46)Lincoln, Nebraska, U.S.,,,
Maggie Stiefvater ,Heidi Hummel (1981-11-18) November 18, 1981 (age 41)Harrisonburg, Virginia, US,,,
Jenny Han ,September 3rd,1980Richmond, Virginia, U.S.,,,
Heather Morris ,Heather Elizabeth Morris (1987-02-01) February 1, 1987 (age 35)Ventura County, California, U.S.,,,
Alex Michaelides ,n,o,n,e,,,
Amor Towles ,1964Boston, Massachusetts, U.S.,,,,
