,0
Becky Albertalli , U.S.
Catherine Marshall, United States
Sarah J. Maas , 1986 (age 36)New York
André Aciman , Egypt
Don DeLillo, U.S.
Aimee Cabo Nikolov ,none
Hanya Yanagihara , U.S.
V.E. Schwab, 1987 (age 35)California
Nicola Yoon ,American
Marissa Meyer , U.S.[2]
Mia Sheridan ,none
Cassandra Clare , Iran
Kathleen Zamboni McCormick ,none
Kenneth Jarrett Singleton,none
Fernando Pessoa, Portugal
Maria Nhambu ,none
Anne Willow ,none
Amie Kaufman , Australia
Colleen Hoover , US
Laura Joffe Numeroff , U.S.
Ransom Riggs, U.S.
Delia Owens ,c. 1949
M. Robinson,none
Afroz Alam ,none
Lawrence Hill, Ontario
John Green , U.S.
John Tiffany ,John Richard Tiffanyc. 1971 (age 50–51)
Kiera Cass , South Carolina
Tara Westover , Idaho
Michel Guyon ,none
Liane Moriarty , Australia
Victoria Aveyard , US
Ammar Habib , 1967 (age 55)
Rohith S. Katbamna ,none
Stephanie Garber ,American
Madeline Miller , U.S.
Jason Latshaw ,none
Kirsten Fullmer ,none
Gail Honeyman,none
Garth Nix , Australia
Paul Kalanithi, 1977
Margaret Wise Brown, U.S.[1]
Gillian Dance ,none
Naomi Novik , US
Samuel R. George,none
Rick Riordan , U.S.
J.K. Franko ,none
Taylor Jenkins Reid , U.S.
Ted Bernal Guevara ,none
Blake Crouch , North Carolina
Renée Ahdieh ,Writer
Andrew Watson ,none
Ruta Sepetys , U.S.
Brandon Sanderson , U.S.
Maggie Stiefvater , US
Jenny Han , U.S.
Heather Morris , U.S.
Alex Michaelides ,none
Amor Towles , U.S.
Holly Black , U.S.
Jean Rhys, British Leeward Islands (now Dominica)
Laini Taylor , US
Rhys Bowen , Somerset
Nelou Keramati ,none
A.D. Zoltan,none
Mackenzi Lee ,MacKenzie Van Engelenhoven
J. Jupes ,none
Sam Conniff ,British
Ta-Nehisi Coates, U.S.
Rachel Caine , 1962United States
Pierce Brown , Colorado
Leslie Garland ,none
Tomi Adeyemi , 1993 (age 29)
Frank Herbert, U.S.
Daniel Silva,none
Kendra Elliot ,none
Jay Kristoff , Australia
Katherine Arden , U.S.
Adam Silvera , U.S.
Jakub Lasak ,none
Lisa Renee Jones ,none
Robert Dugoni ,none
Tricia Copeland ,none
A.F. Knott ,none
Fredrik Backman , Sweden
Dan Brown , U.S.
C.S. Pacat ,none
Mark M. Bello ,none
Cece Whittaker ,none
Shaun David Hutchinson ,none
William Graney ,none
M.S. Matassa ,none
