,0
Becky Albertalli ,1982-11-17
Catherine Marshall,1914-09-27
Sarah J. Maas ,1986-03-05
André Aciman ,1951-01-02
Don DeLillo,1936-11-20
Aimee Cabo Nikolov ,none
Hanya Yanagihara ,none
V.E. Schwab,1987-07-07
Nicola Yoon ,none
Marissa Meyer ,1984-02-19
Mia Sheridan ,none
Cassandra Clare ,1973-07-27
Kathleen Zamboni McCormick ,none
Kenneth Jarrett Singleton,none
Fernando Pessoa,1888-06-13
Maria Nhambu ,none
Anne Willow ,none
Amie Kaufman ,none
Colleen Hoover ,1979-12-11
Laura Joffe Numeroff ,1953-07-14
Ransom Riggs,1979-02-03
Delia Owens ,none
M. Robinson,none
Afroz Alam ,none
Lawrence Hill,1957-01-24
John Green ,1977-08-24
John Tiffany ,none
Kiera Cass ,1981-05-19
Tara Westover ,1986-09-30
Michel Guyon ,none
Liane Moriarty ,1966-11-15
Victoria Aveyard ,1990-07-27
Ammar Habib ,1967-10-25
Rohith S. Katbamna ,none
Stephanie Garber ,none
Madeline Miller ,1978-07-24
Jason Latshaw ,none
Kirsten Fullmer ,none
Gail Honeyman,none
Garth Nix ,1963-07-19
Paul Kalanithi,none
Margaret Wise Brown,none
Gillian Dance ,none
Naomi Novik ,1973-04-30
Samuel R. George,none
Rick Riordan ,1964-06-05
J.K. Franko ,none
Taylor Jenkins Reid ,1983-12-20
Ted Bernal Guevara ,none
Blake Crouch ,1978-10-15
Renée Ahdieh ,none
Andrew Watson ,none
Ruta Sepetys ,1967-11-19
Brandon Sanderson ,1975-12-19
Maggie Stiefvater ,1981-11-18
Jenny Han ,none
Heather Morris ,1987-02-01
Alex Michaelides ,none
Amor Towles ,none
Holly Black ,1971-11-10
Jean Rhys,1890-08-24
Laini Taylor ,1971-12-11
Rhys Bowen ,1941-09-24
Nelou Keramati ,none
A.D. Zoltan,none
Mackenzi Lee ,none
J. Jupes ,none
Sam Conniff ,none
Ta-Nehisi Coates,1975-09-30
Rachel Caine ,1962-04-27
Pierce Brown ,1988-01-28
Leslie Garland ,none
Tomi Adeyemi ,1993-08-01
Frank Herbert,1920-10-08
Daniel Silva,none
Kendra Elliot ,none
Jay Kristoff ,none
Katherine Arden ,none
Adam Silvera ,1990-06-07
Jakub Lasak ,none
Lisa Renee Jones ,none
Robert Dugoni ,none
Tricia Copeland ,none
A.F. Knott ,none
Fredrik Backman ,1981-06-02
Dan Brown ,1964-06-22
C.S. Pacat ,none
Mark M. Bello ,none
Cece Whittaker ,none
Shaun David Hutchinson ,none
William Graney ,none
M.S. Matassa ,none
Melinda Leigh ,none
Trevor Noah,1984-02-20
Kris Kelkar ,none
Celeste Ng ,1980-07-30
Jamie McHone ,none
Shari Lapena ,none
Mya Robarts,none
Darin C. Brown ,none
B.A. Paris ,none
K.J. Soze ,none
Michael Stephen Daigle ,none
Scott Lynch ,1978-04-02
Danielle Simmons,none
Marie Rutkoski ,1977-03-05
Ashlee Vance ,none
Miquel Reina ,none
Christian Warren Freed ,none
Sylvia Plath,1932-10-27
E.L. James ,1963-03-07
Camilla Isley ,none
Soman Chainani ,none
Jordan B. Peterson,1962-06-12
Lisa Wingate ,none
Lee Matthew Goldberg ,none
Grahame Shannon ,none
