isbn,main author
9780439023481,Suzanne Collins
9780439358071,J.K. Rowling
9780316015844,Stephenie Meyer
9780375831003,Markus Zusak 
9780451526342,George Orwell
9780345538376,J.R.R. Tolkien
9780446675536,Margaret Mitchell
9780060256654,Shel Silverstein
9780393978896,Emily Brontë
9781400096893,Arthur Golden
9780451527745,Lewis Carroll
9780142437209,Charlotte Brontë
B0064CPN7I,Ray Bradbury
9780062024039,Veronica Roth 
9780140283334,William Golding
9780743477116,William Shakespeare
9780062315007,Paulo Coelho 
9780143058144,Fyodor Dostoyevsky
9781416914280,Cassandra Clare 
9780812550702,Orson Scott Card
9780451528827,L.M. Montgomery
9780064410939,E.B. White
9780142000670,John Steinbeck
9781939126016,Audrey Niffenegger 
9780393970128,Bram Stoker
9780060929879,Aldous Huxley
9780316769174,J.D. Salinger
9780345418265,William Goldman
9780786838653,Rick Riordan 
9780517189603,Frances Hodgson Burnett
9781594489501,Khaled Hosseini 
9781250153272,Madeleine L'Engle
9780553588484,George R.R. Martin
9780142437179,Mark Twain
9780316166683,Alice Sebold
9780099408390,Maurice Sendak
9780394800165,Dr. Seuss
9780143039952,Homer
9780770430078,Yann Martel
9780141439600,Charles Dickens
9781565125605,Sara Gruen 
B00IIAQY3Q,Vladimir Nabokov
9780385333849,Kurt Vonnegut Jr.
9780143131847,Mary Wollstonecraft Shelley
9780385732550,Lois Lowry 
9780684833392,Joseph Heller
9780593099322,Frank Herbert
9780385199575,Stephen King 
9780380395866,Richard Adams
9780192833594,Charles Dickens
9780451529305,Louisa May Alcott
9780545010221,J.K. Rowling
9780440242949,Diana Gabaldon 
9780743454537,Jodi Picoult 
9780141301068,Roald Dahl
9780345015339,J.R.R. Tolkien
9780316323703,Daphne du Maurier
B003JTHWKU,George Orwell
9780143135692,Alice Walker
9780061120077,Betty Smith
9780393341768,Anthony Burgess
9780307265432,Cormac McCarthy
9780374528379,Fyodor Dostoyevsky
9780007205233,Frank McCourt
9781595141743,Richelle Mead 
9780060786502,Barbara Kingsolver
9780679879244,Philip Pullman
9780142437230,Miguel de Cervantes Saavedra
9780452011878,Ayn Rand
9780439655484,J.K. Rowling
9780684830490,Ernest Hemingway
B000Q67J66,Nicholas Sparks 
9780525467564,A.A. Milne
9780385074070,Edgar Allan Poe
9780345476876,Anne Rice
9780552135399,John Irving 
9780142437247,Herman Melville
9780312353766,Anita Diamant 
9780142001745,Sue Monk Kidd 
9781416975861,Cassandra Clare 
9780312330873,Agatha Christie
9780312422158,Jeffrey Eugenides
9780679760801,Mikhail Bulgakov
9780756404079,Patrick Rothfuss 
9780450040184,Stephen King 
9780143039563,Mark Twain
9780375826696,Christopher Paolini 
9780142403884,Roald Dahl
9780140042597,Jack Kerouac
9781400032716,Mark Haddon
9780241003008,Eric Carle
9780751529814,Mitch Albom 
9780571224388,Milan Kundera
9780156001311,Umberto Eco
9780375806810,Wilson Rawls
9780439064866,J.K. Rowling
9780142437261,Nathaniel Hawthorne
9780679745587,Truman Capote
9780393355949,Chuck Palahniuk 
9781401308582,Mitch Albom 
9781416989417,Becca Fitzpatrick 
9780394800011,Dr. Seuss
9780140449266,Alexandre Dumas
9780671683900,Larry McMurtry
9780140120837,Patrick Süskind
9780439244190,Louis Sachar 
9780930289232,Alan Moore 
9780450411434,Stephen King 
9781423101475,Rick Riordan 
9780060529963,Laura Ingalls Wilder
9780679433132,Dante Alighieri
9780805072457,J.M. Barrie
9780449213940,Erich Maria Remarque
9780618260300,J.R.R. Tolkien
9781557831576,Reduced Shakespeare Company
9781400034680,Gabriel García Márquez
9781595141972,Richelle Mead 
9780007442911,Veronica Roth 
9780007173044,Dr. Seuss
9780345453747,Douglas Adams
9780385721790,Ian McEwan
9781580495806,Oscar Wilde
9780143038412,Elizabeth Gilbert 
9780061120060,Zora Neale Hurston
9780140621679,L. Frank Baum
9780060775858,Margaret Wise Brown
9780679889106,Dr. Seuss
9781595141989,Richelle Mead 
9781416500186,Pearl S. Buck
9781892295491,Joseph Conrad
9780743477543,William Shakespeare
9781406321340,Cassandra Clare 
9780001000391,Kahlil Gibran
B000FC1JCQ,Marion Zimmer Bradley
9780141382890,Rick Riordan 
